index,date,treatment,repetition,length_in_cm,width_in_cm
105,2024-08-07,TA,R2,20.0,3.0
106,2024-08-07,TA,R2,18.0,3.0
107,2024-08-07,TA,R2,24.0,4.0
108,2024-08-07,TB,R5,20.0,3.0
109,2024-08-07,TB,R5,19.5,3.0
110,2024-08-07,TB,R5,17.5,2.5
111,2024-08-07,TB,R5,17.0,2.5
116,2024-08-07,TB,R3,18.0,3.0
117,2024-08-07,TB,R3,18.0,3.0
118,2024-08-07,TB,R3,16.5,2.0
119,2024-08-07,TB,R3,23.0,4.0
120,2024-08-14,TA,R1,18.0,3.0
121,2024-08-14,TA,R1,19.0,3.0
122,2024-08-14,TA,R1,21.0,3.5
123,2024-08-14,TA,R1,26.0,4.0
128,2024-08-14,TA,R4,19.0,2.5
129,2024-08-14,TA,R4,17.0,2.5
130,2024-08-14,TA,R4,17.0,2.5
131,2024-08-14,TA,R4,21.0,3.5
132,2024-08-14,TB,R4,17.0,2.5
133,2024-08-14,TB,R4,19.0,3.0
134,2024-08-14,TB,R4,25.0,4.0
135,2024-08-14,TB,R4,25.0,3.5
136,2024-08-14,TB,R1,21.0,3.5
137,2024-08-14,TB,R1,19.0,2.5
138,2024-08-14,TB,R1,20.0,3.0
139,2024-08-14,TB,R1,24.0,3.5
140,2024-08-14,TA,R3,16.0,2.5
141,2024-08-14,TA,R3,17.0,2.5
142,2024-08-14,TA,R3,20.0,2.5
143,2024-08-14,TA,R3,15.0,2.0
152,2024-08-14,TB,R3,20.0,3.0
153,2024-08-14,TB,R3,23.0,3.0
154,2024-08-14,TB,R3,19.0,2.5
155,2024-08-14,TB,R3,20.0,3.0
160,2024-08-14,TB,R5,21.0,3.0
161,2024-08-14,TB,R5,22.0,3.0
162,2024-08-14,TB,R5,21.0,3.0
163,2024-08-14,TB,R5,27.0,4.0
164,2024-08-14,TA,R2,24.0,4.0
165,2024-08-14,TA,R2,20.0,3.0
166,2024-08-14,TA,R2,17.0,2.5
167,2024-08-14,TA,R2,19.0,2.5
172,2024-08-14,TB,R2,20.0,3.0
173,2024-08-14,TB,R2,19.0,3.0
174,2024-08-14,TB,R2,17.0,2.5
175,2024-08-14,TB,R2,27.0,4.0
176,2024-08-14,TA,R5,23.0,3.5
177,2024-08-14,TA,R5,18.0,2.5
178,2024-08-14,TA,R5,19.0,2.5
179,2024-08-14,TA,R5,17.0,2.5
